"","title","artist","top.genre","year"
"1","Secrets","OneRepublic","dance pop",2010
"2","OMG (feat. will.i.am)","Usher","atl hip hop",2010
"3","The Time (Dirty Bit)","The Black Eyed Peas","dance pop",2010
"4","Alejandro","Lady Gaga","dance pop",2010
"5","Meet Me Halfway","The Black Eyed Peas","dance pop",2010
"6","Doesn't Mean Anything","Alicia Keys","hip pop",2010
"7","A Thousand Years","Christina Perri","dance pop",2011
"8","Give Me Everything","Pitbull","dance pop",2011
"9","Grenade","Bruno Mars","pop",2011
"10","Born This Way","Lady Gaga","dance pop",2011
"11","Monster","Kanye West","chicago rap",2011
"12","Party Rock Anthem","LMFAO","dance pop",2011
"13","Good Life","OneRepublic","dance pop",2011
"14","Just Can’t Get Enough","The Black Eyed Peas","dance pop",2011
"15","Without You (feat. Usher)","David Guetta","dance pop",2011
"16","The Edge Of Glory","Lady Gaga","dance pop",2011
"17","Till the World Ends","Britney Spears","dance pop",2011
"18","I Wanna Go","Britney Spears","dance pop",2011
"19","You And I","Lady Gaga","dance pop",2011
"20","Marry The Night","Lady Gaga","dance pop",2011
"21","Hold It Against Me","Britney Spears","dance pop",2011
"22","Raise Your Glass","P!nk","dance pop",2011
"23","Paradise","Coldplay","permanent wave",2012
"24","Payphone","Maroon 5","pop",2012
"25","I Knew You Were Trouble.","Taylor Swift","pop",2012
"26","Call Me Maybe","Carly Rae Jepsen","canadian pop",2012
"27","Set Fire to the Rain","Adele","british soul",2012
"28","Try","P!nk","dance pop",2012
"29","Some Nights","fun.","baroque pop",2012
"30","Boyfriend","Justin Bieber","canadian pop",2012
"31","Where Have You Been","Rihanna","barbadian pop",2012
"32","Story of My Life","One Direction","boy band",2013
"33","We Can't Stop","Miley Cyrus","dance pop",2013
"34","Hold On, We're Going Home","Drake","canadian hip hop",2013
"35","Feel This Moment (feat. Christina Aguilera)","Pitbull","dance pop",2013
"36","Let Me Love You (Until You Learn To Love Yourself)","Ne-Yo","dance pop",2013
"37","#thatPOWER","will.i.am","dance pop",2013
"38","Daylight","Maroon 5","pop",2013
"39","Love Somebody","Maroon 5","pop",2013
"40","A Little Party Never Killed Nobody (All We Got)","Fergie","dance pop",2013
"41","Heartbreaker","Justin Bieber","canadian pop",2013
"42","Mirrors - Radio Edit","Justin Timberlake","dance pop",2013
"43","TKO","Justin Timberlake","dance pop",2013
"44","Live It Up","Jennifer Lopez","dance pop",2013
"45","What About Love","Austin Mahone","dance pop",2013
"46","Take Back the Night","Justin Timberlake","dance pop",2013
"47","People Like Us","Kelly Clarkson","dance pop",2013
"48","Right Now - Dyro Radio Edit","Rihanna","barbadian pop",2013
"49","Freak","Kelly Rowland","atl hip hop",2013
"50","Dark Horse","Katy Perry","dance pop",2014
"51","Pompeii","Bastille","metropopolis",2014
"52","Team","Lorde","art pop",2014
"53","Adore You","Miley Cyrus","dance pop",2014
"54","human","Christina Perri","dance pop",2014
"55","Let It Go - From ""Frozen / Single Version","Demi Lovato","dance pop",2014
"56","A Sky Full of Stars","Coldplay","permanent wave",2014
"57","Drunk in Love","Beyoncé","dance pop",2014
"58","You're Mine (Eternal)","Mariah Carey","dance pop",2014
"59","Sheezus","Lily Allen","dance pop",2014
"60","It's On Again - Main Soundtrack","Alicia Keys","hip pop",2014
"61","Not a Bad Thing","Justin Timberlake","dance pop",2014
"62","The Hills","The Weeknd","canadian contemporary r&b",2015
"63","Want to Want Me","Jason Derulo","dance pop",2015
"64","Waves - Robin Schulz Radio Edit","Mr. Probz","tropical house",2015
"65","Never Forget You","Zara Larsson","dance pop",2015
"66","Blame","Calvin Harris","dance pop",2015
"67","Break Free","Ariana Grande","dance pop",2015
"68","Rather Be (feat. Jess Glynne)","Clean Bandit","dance pop",2015
"69","43776","Beyoncé","dance pop",2015
"70","Only Love Can Hurt Like This","Paloma Faith","british soul",2015
"71","Same Old Love","Selena Gomez","dance pop",2015
"72","I Lived","OneRepublic","dance pop",2015
"73","Broken Arrows","Avicii","big room",2015
"74","Lay It All on Me","Rudimental","dance pop",2015
"75","American Oxygen","Rihanna","barbadian pop",2015
