"","title","artist","top.genre","year"
"1","Love The Way You Lie","Eminem","detroit hip hop",2010
"2","TiK ToK","Kesha","dance pop",2010
"3","Cooler Than Me - Single Mix","Mike Posner","dance pop",2010
"4","My First Kiss - feat. Ke$ha","3OH!3","dance pop",2010
"5","Blah Blah Blah (feat. 3OH!3)","Kesha","dance pop",2010
"6","If I Had You","Adam Lambert","australian pop",2010
"7","Rock That Body","The Black Eyed Peas","dance pop",2010
"8","Not Myself Tonight","Christina Aguilera","dance pop",2010
"9","Run the World (Girls)","Beyoncé","dance pop",2011
"10","Moves Like Jagger - Studio Recording From The Voice Performance","Maroon 5","pop",2011
"11","Love On Top","Beyoncé","dance pop",2011
"12","Papi","Jennifer Lopez","dance pop",2011
"13","Invading My Mind","Jennifer Lopez","dance pop",2011
"14","Last Friday Night (T.G.I.F.)","Katy Perry","dance pop",2011
"15","Locked Out of Heaven","Bruno Mars","pop",2012
"16","Good Time","Owl City","pop",2012
"17","International Love","Pitbull","dance pop",2012
"18","Don't Stop the Party (feat. TJR)","Pitbull","dance pop",2012
"19","Play Hard (feat. Ne-Yo & Akon) - New Edit","David Guetta","dance pop",2013
"20","Move","Little Mix","dance pop",2013
"21","Finally Found You","Enrique Iglesias","dance pop",2013
"22","Pom Poms","Jonas Brothers","boy band",2013
"23","Rude","MAGIC!","pop",2014
"24","Treasure","Bruno Mars","pop",2014
"25","Mmm Yeah (feat. Pitbull)","Austin Mahone","dance pop",2014
"26","La La La (Brasil 2014) (feat. Carlinhos Brown)","Shakira","colombian pop",2014
"27","How Deep Is Your Love","Calvin Harris","dance pop",2015
"28","Don't","Ed Sheeran","pop",2015
"29","Focus","Ariana Grande","dance pop",2015
"30","Love Me Like You","Little Mix","dance pop",2015
"31","Booty","Jennifer Lopez","dance pop",2015
"32","Bang Bang","Jessie J","australian pop",2015
"33","Been You","Justin Bieber","canadian pop",2015
"34","Prayer in C - Robin Schulz Radio Edit","Lilly Wood and The Prick","french indie pop",2015
"35","Time of Our Lives","Pitbull","dance pop",2015
"36","Me Too","Meghan Trainor","dance pop",2016
"37","Toothbrush","DNCE","dance pop",2016
"38","NO","Meghan Trainor","dance pop",2016
"39","Desire","Years & Years","dance pop",2016
"40","Cut To The Feeling","Carly Rae Jepsen","canadian pop",2017
"41","We Don't Talk Anymore - DROELOE Remix","Charlie Puth","dance pop",2017
"42","Greenlight (feat. Flo Rida & LunchMoney Lewis)","Pitbull","dance pop",2017
"43","Good as Hell (feat. Ariana Grande) - Remix","Lizzo","escape room",2019
"44","Antisocial (with Travis Scott)","Ed Sheeran","pop",2019
