"","title","artist","top.genre","year"
"1","Hey, Soul Sister","Train","neo mellow",2010
"2","Bad Romance","Lady Gaga","dance pop",2010
"3","Just the Way You Are","Bruno Mars","pop",2010
"4","Baby","Justin Bieber","canadian pop",2010
"5","Dynamite","Taio Cruz","dance pop",2010
"6","Only Girl (In The World)","Rihanna","barbadian pop",2010
"7","Club Can't Handle Me (feat. David Guetta)","Flo Rida","dance pop",2010
"8","Marry You","Bruno Mars","pop",2010
"9","Telephone","Lady Gaga","dance pop",2010
"10","Eenie Meenie","Sean Kingston","dance pop",2010
"11","Your Love Is My Drug","Kesha","dance pop",2010
"12","Take It Off","Kesha","dance pop",2010
"13","Misery","Maroon 5","pop",2010
"14","All The Right Moves","OneRepublic","dance pop",2010
"15","Naturally","Selena Gomez & The Scene","dance pop",2010
"16","I Like It","Enrique Iglesias","dance pop",2010
"17","Teenage Dream","Katy Perry","dance pop",2010
"18","California Gurls","Katy Perry","dance pop",2010
"19","3","Britney Spears","dance pop",2010
"20","Try Sleeping with a Broken Heart","Alicia Keys","hip pop",2010
"21","Sexy Bitch (feat. Akon)","David Guetta","dance pop",2010
"22","Dog Days Are Over","Florence + The Machine","art pop",2010
"23","Loca","Shakira","colombian pop",2010
"24","Written in the Stars (feat. Eric Turner)","Tinie Tempah","dance pop",2010
"25","DJ Got Us Fallin' In Love (feat. Pitbull)","Usher","atl hip hop",2010
"26","Break Your Heart","Taio Cruz","dance pop",2010
"27","Hello","Martin Solveig","big room",2010
"28","Rolling in the Deep","Adele","british soul",2011
"29","Tonight Tonight","Hot Chelle Rae","dance pop",2011
"30","Best Thing I Never Had","Beyoncé","dance pop",2011
"31","We R Who We R","Kesha","dance pop",2011
"32","On The Floor","Jennifer Lopez","dance pop",2011
"33","What's My Name?","Rihanna","barbadian pop",2011
"34","Yeah 3x","Chris Brown","dance pop",2011
"35","Blow","Kesha","dance pop",2011
"36","Judas","Lady Gaga","dance pop",2011
"37","Tonight (I'm Fuckin' You)","Enrique Iglesias","dance pop",2011
"38","Please Don't Go","Mike Posner","dance pop",2011
"39","We Found Love","Rihanna","barbadian pop",2011
"40","I'm Into You","Jennifer Lopez","dance pop",2011
"41","Cheers (Drink To That)","Rihanna","barbadian pop",2011
"42","S&M Remix","Rihanna","barbadian pop",2011
"43","Super Bass","Nicki Minaj","dance pop",2011
"44","Firework","Katy Perry","dance pop",2011
"45","Titanium (feat. Sia)","David Guetta","dance pop",2012
"46","What Makes You Beautiful","One Direction","boy band",2012
"47","Love You Like A Love Song","Selena Gomez & The Scene","dance pop",2012
"48","We Are Never Ever Getting Back Together","Taylor Swift","pop",2012
"49","Stronger (What Doesn't Kill You)","Kelly Clarkson","dance pop",2012
"50","Starships","Nicki Minaj","dance pop",2012
"51","One More Night","Maroon 5","pop",2012
"52","Glad You Came","The Wanted","boy band",2012
"53","Beauty And A Beat","Justin Bieber","canadian pop",2012
"54","Part Of Me","Katy Perry","dance pop",2012
"55","Domino","Jessie J","australian pop",2012
"56","The One That Got Away","Katy Perry","dance pop",2012
"57","Dance Again","Jennifer Lopez","dance pop",2012
"58","Turn Up the Music","Chris Brown","dance pop",2012
"59","Lights - Single Version","Ellie Goulding","dance pop",2012
"60","Diamonds","Rihanna","barbadian pop",2012
"61","You Da One","Rihanna","barbadian pop",2012
"62","Stereo Hearts (feat. Adam Levine)","Gym Class Heroes","dance pop",2012
"63","It Will Rain","Bruno Mars","pop",2012
"64","Blow Me (One Last Kiss)","P!nk","dance pop",2012
"65","Wake Me Up","Avicii","big room",2013
"66","Hall of Fame","The Script","celtic rock",2013
"67","Don't You Worry Child - Radio Edit","Swedish House Mafia","big room",2013
"68","Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit","Daft Punk","electro",2013
"69","Blurred Lines","Robin Thicke","dance pop",2013
"70","Die Young","Kesha","dance pop",2013
"71","Clarity","Zedd","complextro",2013
