"","title","artist","top.genre","year"
"1","Empire State of Mind (Part II) Broken Down","Alicia Keys","hip pop",2010
"2","Bound To You - Burlesque Original Motion Picture Soundtrack","Christina Aguilera","dance pop",2010
"3","You Lost Me","Christina Aguilera","dance pop",2010
"4","Someone Like You","Adele","british soul",2011
"5","1+1","Beyoncé","dance pop",2011
"6","Jar of Hearts","Christina Perri","dance pop",2011
"7","Turning Page","Sleeping At Last","acoustic pop",2011
"8","Just Give Me a Reason (feat. Nate Ruess)","P!nk","dance pop",2013
"9","Wrecking Ball","Miley Cyrus","dance pop",2013
"10","Beneath Your Beautiful","Labrinth","pop",2013
"11","Clown","Emeli Sandé","dance pop",2013
"12","Atlas - From “The Hunger Games: Catching Fire” Soundtrack","Coldplay","permanent wave",2013
"13","Foolish Games","Jewel","alaska indie",2013
"14","All of Me","John Legend","neo mellow",2014
"15","Stay With Me","Sam Smith","pop",2014
"16","Let Her Go","Passenger","folk-pop",2014
"17","Say Something","A Great Big World","neo mellow",2014
"18","Not About Angels","Birdy","neo mellow",2014
"19","Tee Shirt - Soundtrack Version","Birdy","neo mellow",2014
"20","Words as Weapons","Birdy","neo mellow",2014
"21","Thinking out Loud","Ed Sheeran","pop",2015
"22","I'm Not The Only One","Sam Smith","pop",2015
"23","FourFiveSeconds","Rihanna","barbadian pop",2015
"24","Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack","The Weeknd","canadian contemporary r&b",2015
"25","Night Changes","One Direction","boy band",2015
"26","What Do You Mean? - Acoustic","Justin Bieber","canadian pop",2015
"27","Mark My Words","Justin Bieber","canadian pop",2015
"28","See You Again (feat. Charlie Puth)","Wiz Khalifa","hip hop",2015
"29","Ghosttown","Madonna","dance pop",2015
"30","We Are Here","Alicia Keys","hip pop",2015
"31","St Jude","Florence + The Machine","art pop",2015
"32","Run Run Run","Kelly Clarkson","dance pop",2015
"33","Million Reasons","Lady Gaga","dance pop",2016
"34","Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor","dance pop",2016
"35","All I Ask","Adele","british soul",2016
"36","Don't Be A Fool","Shawn Mendes","canadian pop",2016
"37","Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture","Florence + The Machine","art pop",2016
"38","Change","Christina Aguilera","dance pop",2016
"39","Start","John Legend","neo mellow",2016
"40","Beautiful Birds (feat. Birdy)","Passenger","folk-pop",2016
"41","Closer","The Chainsmokers","electropop",2017
"42","Praying","Kesha","dance pop",2017
"43","Love","Lana Del Rey","art pop",2017
"44","Lust for Life (with The Weeknd)","Lana Del Rey","art pop",2017
"45","Free Me","Sia","australian dance",2017
"46","Shallow - Radio Edit","Lady Gaga","dance pop",2018
"47","Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran","pop",2018
"48","Youth (feat. Khalid)","Shawn Mendes","canadian pop",2018
"49","This Town","Niall Horan","dance pop",2018
"50","Memories","Maroon 5","pop",2019
"51","Lose You To Love Me","Selena Gomez","dance pop",2019
"52","Someone You Loved","Lewis Capaldi","pop",2019
"53","Trampoline (with ZAYN)","SHAED","electropop",2019
