"","title","artist","top.genre","year"
"1","Whataya Want from Me","Adam Lambert","australian pop",2010
"2","Animal","Neon Trees","indie pop",2010
"3","Hard","Rihanna","barbadian pop",2010
"4","What the Hell","Avril Lavigne","canadian pop",2011
"5","Price Tag","Jessie J","australian pop",2011
"6","E.T.","Katy Perry","dance pop",2011
"7","Wide Awake","Katy Perry","dance pop",2012
"8","We Are Young (feat. Janelle Monáe)","fun.","baroque pop",2012
"9","Underneath the Tree","Kelly Clarkson","dance pop",2013
"10","Roar","Katy Perry","dance pop",2013
"11","Impossible","James Arthur","pop",2013
"12","Heart Attack","Demi Lovato","dance pop",2013
"13","Everybody Talks","Neon Trees","indie pop",2013
"14","Brave","Sara Bareilles","acoustic pop",2013
"15","Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis","dance pop",2013
"16","Rock N Roll","Avril Lavigne","canadian pop",2013
"17","Happy - From ""Despicable Me 2""","Pharrell Williams","dance pop",2014
"18","Shake It Off","Taylor Swift","pop",2014
"19","She Looks So Perfect","5 Seconds of Summer","boy band",2014
"20","Shot Me Down (feat. Skylar Grey) - Radio Edit","David Guetta","dance pop",2014
"21","Chandelier","Sia","australian dance",2014
"22","Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding","dance pop",2015
"23","Animals","Maroon 5","pop",2015
"24","Genie In a Bottle","Christina Aguilera","dance pop",2015
"25","Runnin' (Lose It All)","Naughty Boy","tropical house",2015
"26","I'll Show You","Justin Bieber","canadian pop",2015
"27","L.A.LOVE (la la)","Fergie","dance pop",2015
"28","Don't Let Me Down","The Chainsmokers","electropop",2016
"29","Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","P!nk","dance pop",2016
"30","Perfect Illusion","Lady Gaga","dance pop",2016
"31","Picky - Remix","Joey Montana","latin",2016
"32","Starboy","The Weeknd","canadian contemporary r&b",2017
"33","Side To Side","Ariana Grande","dance pop",2017
"34","Despacito - Remix","Luis Fonsi","latin",2017
"35","The Greatest","Sia","australian dance",2017
"36","Chained To The Rhythm","Katy Perry","dance pop",2017
"37","Love Incredible (feat. Camila Cabello)","Cashmere Cat","downtempo",2017
"38","Messin' Around","Pitbull","dance pop",2017
"39","Dusk Till Dawn - Radio Edit","ZAYN","dance pop",2018
"40","Love On The Brain","Rihanna","barbadian pop",2018
"41","Let Me","ZAYN","dance pop",2018
"42","...Ready For It? - BloodPop® Remix","Taylor Swift","pop",2018
